Instance	Generations	Swap	CX	ER	EER	OX	NWOX	UOBX	OX2	PPX	UPPX	PMX	UPMX	PBX
23	100	73	69	58	31	70	69	78	78	69	78	62	66	63
23	1000	44	43	36	17	33	44	45	47	42	42	45	48	46
23	10000	38	40	0	9	18	39	39	41	35	37	38	41	42
24	1	93	90	94	93	93	94	92	94	93	94	93	94	94
24	10	91	88	87	84	89	88	91	90	89	90	88	92	90
24	100	70	70	56	58	66	61	76	73	67	75	60	64	58
24	1000	45	40	20	26	30	37	40	44	43	44	39	41	41
24	10000	43	38	3	5	18	35	39	42	37	32	37	39	38
25	1	94	92	94	94	93	93	94	93	94	94	94	94	94
25	10	91	89	85	85	89	89	91	91	90	92	91	90	92
25	100	75	71	58	45	64	67	73	75	65	79	61	60	57
25	1000	47	42	30	19	38	37	45	46	43	43	43	42	42
25	10000	38	36	3	0	12	31	39	44	33	26	38	39	38
26	1	91	94	94	92	93	94	94	93	93	93	92	93	94
26	10	89	89	85	84	88	87	92	89	89	91	86	91	90
26	100	71	68	54	34	65	65	86	78	64	74	64	59	58
26	1000	43	41	28	18	28	36	49	42	41	44	42	45	42
26	10000	39	39	3	0	14	34	46	39	35	38	37	40	37
27	1	94	94	93	91	93	94	92	94	93	94	93	94	93
27	10	91	89	85	85	91	87	89	91	87	89	90	90	91
27	100	70	70	55	37	69	66	77	78	63	77	66	57	56
27	1000	43	43	24	19	27	39	55	48	45	44	42	45	39
27	10000	37	32	5	0	23	33	44	48	40	36	38	36	36
28	1	94	94	92	91	94	93	93	93	94	94	94	93	95
28	10	91	89	85	86	89	87	91	91	89	93	89	92	92
28	100	67	68	55	40	65	61	77	71	65	75	64	65	61
28	1000	46	45	29	16	36	39	46	43	44	45	42	44	44
28	10000	39	39	0	2	21	35	43	41	38	36	40	40	41
29	1	94	94	91	92	94	92	94	93	93	92	95	93	93
29	10	92	89	86	85	90	89	90	92	87	91	90	89	91
29	100	73	66	54	40	67	64	77	84	67	79	63	64	64
29	1000	50	44	23	22	33	43	56	63	35	44	42	44	41
29	10000	39	39	0	0	18	40	36	47	29	28	35	35	34
30	1	93	90	94	93	91	93	94	94	93	94	92	94	93
30	10	89	89	87	86	89	86	91	92	89	91	87	90	91
30	100	72	69	56	46	65	65	73	77	72	72	63	62	56
30	1000	47	41	24	22	31	40	42	45	43	43	42	43	40
30	10000	45	36	0	0	19	37	41	41	34	37	39	37	37
31	1	93	94	92	92	92	91	92	94	93	94	93	94	94
31	10	91	86	85	84	87	88	90	92	91	90	90	91	91
31	100	72	69	48	47	63	62	81	76	72	74	70	65	60
31	1000	42	43	24	26	37	41	44	45	44	44	40	44	45
31	10000	38	38	0	3	19	36	43	39	38	29	35	38	43
32	1	94	94	93	94	93	93	93	91	93	93	93	93	93
32	10	92	89	85	84	90	89	91	91	88	92	88	91	89
32	100	73	69	58	41	69	66	77	76	70	75	62	60	58
32	1000	45	39	24	21	30	41	42	45	41	46	43	44	40
32	10000	39	35	8	3	18	39	38	42	33	34	38	37	36
33	1	92	93	93	94	94	93	93	93	93	94	94	94	93
33	10	91	89	83	87	88	89	92	91	90	91	90	91	92
33	100	69	70	56	42	70	67	75	77	71	76	64	63	62
33	1000	41	47	26	21	33	39	43	47	42	41	45	42	40
33	10000	35	44	2	5	18	38	36	44	35	33	40	39	38
34	1	93	93	93	94	92	95	94	92	92	94	93	93	94
34	10	90	91	84	82	87	89	91	92	88	91	90	91	92
34	100	71	74	56	33	69	66	76	77	62	73	60	60	66
34	1000	48	48	22	14	32	41	46	42	41	42	43	42	39
34	10000	41	43	0	3	21	39	40	41	37	42	39	39	34
35	1	94	95	92	94	93	94	93	94	94	94	94	92	94
35	10	93	90	85	86	87	88	90	91	89	92	88	89	92
35	100	72	68	54	46	65	65	74	79	67	71	63	60	57
35	1000	42	43	26	19	36	35	45	45	43	44	44	38	39
35	10000	39	34	2	3	17	34	36	40	37	31	36	35	34
36	1	94	90	93	94	94	93	94	94	93	95	94	92	95
36	10	92	87	85	88	89	91	90	91	89	92	90	90	91
36	100	72	70	62	43	67	71	74	84	66	76	63	59	64
36	1000	40	39	29	23	37	38	41	49	40	47	44	38	45
36	10000	36	39	0	0	22	35	41	43	38	33	38	35	39
37	1	93	93	94	94	94	93	93	94	92	93	91	94	94
37	10	91	91	86	85	88	90	92	88	89	91	91	91	90
37	100	73	70	56	41	70	68	78	78	65	70	64	66	56
37	1000	45	44	24	25	40	43	47	45	42	44	44	42	40
37	10000	42	42	7	0	19	35	38	35	33	36	43	39	34
